epoch,accuracy,loss,val_accuracy,val_loss
0,0.7269999980926514,0.7933059334754944,0.7962499856948853,0.4239221215248108
1,0.8489999771118164,0.37759730219841003,0.8912500143051147,0.28011026978492737
2,0.8600000143051147,0.3391548991203308,0.8737499713897705,0.313895046710968
3,0.8899999856948853,0.266958087682724,0.8987500071525574,0.26129961013793945
4,0.9210000038146973,0.19902798533439636,0.8637499809265137,0.37514254450798035
5,0.925000011920929,0.1990066021680832,0.7975000143051147,0.7376362085342407
6,0.9409999847412109,0.13912704586982727,0.8912500143051147,0.3346644937992096
7,0.9399999976158142,0.1460077464580536,0.893750011920929,0.3981569707393646
8,0.9449999928474426,0.14982229471206665,0.887499988079071,0.36842450499534607
9,0.9580000042915344,0.10846002399921417,0.8999999761581421,0.43468964099884033
